Date,US10Y_Yield,CPI,DXY_Close
2026-02-06,4.22,327.46,97.62999725341795
2026-02-09,4.22,327.46,96.81999969482422
2026-02-10,4.16,327.46,96.8000030517578
2026-02-11,4.18,327.46,96.83000183105467
2026-02-12,4.09,327.46,96.93000030517578
2026-02-13,4.04,327.46,96.87999725341795
2026-02-17,4.05,327.46,97.16000366210938
2026-02-18,4.09,327.46,97.6999969482422
2026-02-19,4.08,327.46,97.93000030517578
2026-02-20,4.08,327.46,97.8000030517578
2026-02-23,4.03,327.46,97.6999969482422
2026-02-24,4.04,327.46,97.87999725341795
2026-02-25,4.05,327.46,97.6999969482422
2026-02-26,4.02,327.46,97.79000091552734
2026-02-27,3.97,327.46,97.61000061035156
2026-03-02,4.05,330.293,98.37999725341795
2026-03-03,4.06,330.293,99.0500030517578
2026-03-04,4.09,330.293,98.7699966430664
2026-03-05,4.13,330.293,99.31999969482422
2026-03-06,4.15,330.293,98.98999786376952
2026-03-09,4.12,330.293,99.18000030517578
2026-03-10,4.15,330.293,98.83000183105467
2026-03-11,4.21,330.293,99.2300033569336
2026-03-12,4.27,330.293,99.73999786376952
2026-03-13,4.28,330.293,100.36000061035156
2026-03-16,4.23,330.293,99.70999908447266
2026-03-17,4.2,330.293,99.58000183105467
2026-03-18,4.26,330.293,100.08999633789062
2026-03-19,4.25,330.293,99.2300033569336
2026-03-20,4.39,330.293,99.6500015258789
2026-03-23,4.34,330.293,98.9499969482422
2026-03-24,4.39,330.293,99.43000030517578
2026-03-25,4.33,330.293,99.5999984741211
2026-03-26,4.42,330.293,99.9000015258789
2026-03-27,4.44,330.293,100.1500015258789
2026-03-30,4.35,330.293,100.51000213623048
2026-03-31,4.3,330.293,99.95999908447266
2026-04-01,4.33,332.407,99.6500015258789
2026-04-02,4.31,332.407,100.02999877929688
2026-04-06,4.34,332.407,99.9800033569336
2026-04-07,4.33,332.407,99.63999938964844
2026-04-08,4.29,332.407,99.12999725341795
2026-04-09,4.29,332.407,98.81999969482422
2026-04-10,4.31,332.407,98.6500015258789
2026-04-13,4.3,332.407,98.37000274658205
2026-04-14,4.26,332.407,98.12000274658205
2026-04-15,4.29,332.407,98.05999755859376
2026-04-16,4.32,332.407,98.22000122070312
2026-04-17,4.26,332.407,98.0999984741211
2026-04-20,4.26,332.407,98.0500030517578
2026-04-21,4.3,332.407,98.41000366210938
2026-04-22,4.3,332.407,98.58999633789062
2026-04-23,4.34,332.407,98.8000030517578
2026-04-24,4.31,332.407,98.51000213623048
2026-04-27,4.35,332.407,98.4800033569336
2026-04-28,4.36,332.407,98.62000274658205
2026-04-29,4.42,332.407,98.91999816894533
2026-04-30,4.4,332.407,98.08000183105467
2026-05-01,4.39,333.979,98.20999908447266
2026-05-04,4.45,333.979,98.47000122070312
2026-05-05,4.43,333.979,98.4800033569336
2026-05-06,4.36,333.979,98.0199966430664
2026-05-07,4.41,333.979,98.25
2026-05-08,4.38,333.979,97.83999633789062
2026-05-11,4.42,333.979,97.94000244140624
2026-05-12,4.46,333.979,98.29000091552734
2026-05-13,4.46,333.979,98.4800033569336
2026-05-14,4.47,333.979,98.87999725341795
2026-05-15,4.59,333.979,99.2699966430664
2026-05-18,4.61,333.979,98.97000122070312
2026-05-19,4.67,333.979,99.3000030517578
2026-05-20,4.57,333.979,99.11000061035156
2026-05-21,4.57,333.979,99.19000244140624
2026-05-22,4.56,333.979,99.31999969482422
2026-05-26,4.5,333.979,99.16999816894533
2026-05-27,4.48,333.979,99.20999908447266
2026-05-28,4.45,333.979,99.0199966430664
2026-05-29,4.45,333.979,98.91000366210938
2026-06-01,4.47,333.979,99.1999969482422
2026-06-02,4.46,333.979,99.22000122070312
2026-06-03,4.49,333.979,99.52999877929688
2026-06-04,4.47,333.979,99.41000366210938
2026-06-05,4.55,333.979,100.06999969482422
2026-06-08,4.56,333.979,100.0500030517578
2026-06-09,4.53,333.979,99.91000366210938
2026-06-10,4.55,333.979,99.9499969482422
2026-06-11,4.45,333.979,99.86000061035156
2026-06-12,4.48,333.979,99.75
2026-06-15,4.47,333.979,99.62999725341795
2026-06-16,4.43,333.979,99.54000091552734
2026-06-17,4.49,333.979,100.08999633789062
2026-06-18,4.46,333.979,100.8499984741211
2026-06-22,4.51,333.979,101.0199966430664
