Date,Asset,30D_Return,90D_Return
2025-05-01,Bitcoin,0.16651457579018003,-0.035477294314541385
2025-05-02,Bitcoin,0.1157784042065455,-0.00595832529973539
2025-05-05,Bitcoin,0.12571239110100896,-0.030769233228259196
2025-05-06,Bitcoin,0.15181749350571483,0.022349966860120807
2025-05-07,Bitcoin,0.10895456648970914,-0.01665827430972866
2025-05-08,Bitcoin,0.18028410616361823,0.07772749344184127
2025-05-09,Bitcoin,0.18492296314955814,0.09351675610145826
2025-05-12,Bitcoin,0.17935732299255402,0.10977320501510701
2025-05-13,Bitcoin,0.23492500789324788,0.11495987352723125
2025-05-14,Bitcoin,0.2542795412681931,0.0686629542185151
2025-05-15,Bitcoin,0.21810084965088783,0.05745957217976372
2025-05-16,Bitcoin,0.2546329283736739,0.013824741246265537
2025-05-19,Bitcoin,0.2707892387085955,0.08959177037500732
2025-05-20,Bitcoin,0.2736908390015027,0.12360192546654813
2025-05-21,Bitcoin,0.3842066399707438,0.18591358289272386
2025-05-22,Bitcoin,0.4641460808926938,0.17921402011221788
2025-05-23,Bitcoin,0.2992934553174209,0.13512212439706506
2025-05-27,Bitcoin,0.36882988136158956,0.1290797822465164
2025-05-28,Bitcoin,0.29251891587895984,0.07261203731953825
2025-05-29,Bitcoin,0.24957145204338138,0.058991921298682026
2025-05-30,Bitcoin,0.2429762519362244,-0.0044367193495304935
2025-06-02,Bitcoin,0.2599864173066384,-0.002494052649343992
2025-06-03,Bitcoin,0.2419051454283636,0.01716686666526468
2025-06-04,Bitcoin,0.12082475723130726,0.007424117198728819
2025-06-05,Bitcoin,0.08406530011374502,-0.03094397257666337
2025-06-06,Bitcoin,0.11119996447343938,0.02255567058466279
2025-06-09,Bitcoin,0.16441637831831546,0.08843783655551563
2025-06-10,Bitcoin,0.16086213363515522,0.06319981202366032
2025-06-11,Bitcoin,0.15274824370613205,0.03772672762340834
2025-06-12,Bitcoin,0.12442497165493394,0.03441267949272819
2025-06-13,Bitcoin,0.09947559792434935,0.04620607841635693
2025-06-16,Bitcoin,0.10201919643767665,0.09119006340643421
2025-06-17,Bitcoin,0.10399224060586332,0.08265419518763872
2025-06-18,Bitcoin,0.08347773579204487,0.08582408426050536
2025-06-20,Bitcoin,0.0646926841467208,0.0702432386999936
2025-06-23,Bitcoin,0.022629595501504562,0.08354292937776564
2025-06-24,Bitcoin,0.029860695559400297,0.10755592247866308
2025-06-25,Bitcoin,0.04423863481452739,0.09680048270506392
2025-06-26,Bitcoin,0.02678499109326893,0.10697287443942383
2025-06-27,Bitcoin,0.03427695295684874,0.09824184442008055
2025-06-30,Bitcoin,0.03268308890052607,0.12137161460134882
2025-07-01,Bitcoin,0.021345128636123256,0.09378190848708567
2025-07-02,Bitcoin,0.030804453249103414,0.10703713367015322
2025-07-03,Bitcoin,0.026752145087016066,0.14067467106412757
2025-07-04,Bitcoin,-0.014986971103073343,0.1817599687425384
2025-07-07,Bitcoin,-0.030208028722179203,0.2204701788923098
2025-07-08,Bitcoin,0.01549548607505602,0.29169079117807484
2025-07-09,Bitcoin,0.02139475894528653,0.31429751743682366
2025-07-10,Bitcoin,0.07592484450344528,0.3746956062388511
2025-07-11,Bitcoin,0.11241042009237434,0.3654339718416333
2025-07-14,Bitcoin,0.15241683385521299,0.3740734533865153
2025-07-15,Bitcoin,0.11234873645634025,0.29963095966349806
2025-07-16,Bitcoin,0.12620437726874334,0.3198780453597412
2025-07-17,Bitcoin,0.13900108416617596,0.37521523341939367
2025-07-18,Bitcoin,0.1617240393234065,0.50261328582616
2025-07-21,Bitcoin,0.1250038542238252,0.4172870568355995
2025-07-22,Bitcoin,0.08795857949395947,0.4332540907624176
2025-07-23,Bitcoin,0.07707182762809084,0.4649042869596778
2025-07-24,Bitcoin,0.08907604776576705,0.40966138493093385
2025-07-25,Bitcoin,0.11051574244229934,0.3991664690520669
2025-07-28,Bitcoin,0.11154114202110166,0.4256118832244298
2025-07-29,Bitcoin,0.10417348665708115,0.35770190012162084
2025-07-30,Bitcoin,0.12648115687698414,0.3999657118490252
2025-07-31,Bitcoin,0.10368544929313561,0.3773647959314099
2025-08-01,Bitcoin,0.0968979090384341,0.2951027695790154
2025-08-04,Bitcoin,0.08992526614155505,0.315532666010383
2025-08-05,Bitcoin,0.07634272421490729,0.31346703990079217
2025-08-06,Bitcoin,0.0714106964067942,0.31947493020897033
2025-08-07,Bitcoin,0.09851251343960366,0.39291657293097115
2025-08-08,Bitcoin,0.08964831124160755,0.41357070396046436
2025-08-11,Bitcoin,0.10823795224541866,0.39406598301505436
2025-08-12,Bitcoin,0.1369428606484555,0.4568936229579914
2025-08-13,Bitcoin,0.13305927453817445,0.4842342346577029
2025-08-14,Bitcoin,0.07945063680709463,0.411667547365558
2025-08-15,Bitcoin,0.08667629178946656,0.4816413683801706
2025-08-18,Bitcoin,0.07343002619824102,0.5241816649100004
2025-08-19,Bitcoin,0.03562089499689325,0.3664257967242621
2025-08-20,Bitcoin,0.02648233845263359,0.4351410389921808
2025-08-21,Bitcoin,-0.030763496134608603,0.3478718588241334
2025-08-22,Bitcoin,-0.005470751403969132,0.3824317608418706
2025-08-25,Bitcoin,-0.08114622989392573,0.3161907258989596
2025-08-26,Bitcoin,-0.05072740635787387,0.3304475920469194
2025-08-27,Bitcoin,-0.06330250776242885,0.3101016540875132
2025-08-28,Bitcoin,-0.05654328021952837,0.20443629655529572
2025-08-29,Bitcoin,-0.08128922322237875,0.15701031376532226
2025-09-02,Bitcoin,-0.053124809368331194,0.1836926932542613
2025-09-03,Bitcoin,-0.0689376605733566,0.1795040243400321
2025-09-04,Bitcoin,-0.06762967468135372,0.16577236026479603
2025-09-05,Bitcoin,-0.06519511713469861,0.17358256273608563
2025-09-08,Bitcoin,-0.04730234510050979,0.1896255897067438
2025-09-09,Bitcoin,-0.054220547539265196,0.15584876033305428
2025-09-10,Bitcoin,-0.03363905012808044,0.17588769678460747
2025-09-11,Bitcoin,-0.01972014783861875,0.219101958805058
2025-09-12,Bitcoin,0.0029663124576080335,0.19936578327146037
2025-09-15,Bitcoin,0.01875033049014707,0.18975692458142768
2025-09-16,Bitcoin,0.015393027768444423,0.13174674630703032
2025-09-17,Bitcoin,0.020387533149145654,0.13108230188625125
2025-09-18,Bitcoin,0.01833643221650383,0.13932339811876204
2025-09-19,Bitcoin,-0.015387972674544614,0.110579510498783
2025-09-22,Bitcoin,-0.033766918759624676,0.08894288067383749
2025-09-23,Bitcoin,-0.056572589467104195,0.07971360568776364
2025-09-24,Bitcoin,-0.05695354844178946,0.09507596234483495
2025-09-25,Bitcoin,-0.11589348646190412,0.032603294477544065
2025-09-26,Bitcoin,-0.07305492413016323,0.027359420141208846
2025-09-29,Bitcoin,-0.02553671929885626,0.04305604883154501
2025-09-30,Bitcoin,-0.01889189569884897,0.021337285524598126
2025-10-01,Bitcoin,0.05156154545324254,0.10589398928320559
2025-10-02,Bitcoin,0.05606239403706814,0.10722194339543933
2025-10-03,Bitcoin,0.08759637839344925,0.13417338360474296
2025-10-06,Bitcoin,0.06740968495542377,0.18090169865801609
2025-10-07,Bitcoin,0.10285673503894777,0.1678178117983442
2025-10-08,Bitcoin,0.1033268021080671,0.1650272312009089
2025-10-09,Bitcoin,0.09425758884394009,0.15434635440517464
2025-10-10,Bitcoin,0.0059492972763972585,0.0809913309971122
2025-10-13,Bitcoin,0.06328004141075905,0.13482644837353086
2025-10-14,Bitcoin,0.017248813113970973,0.08361233423469794
2025-10-15,Bitcoin,-0.008414069620017228,0.00443416731331614
2025-10-16,Bitcoin,-0.02291799096299829,-0.01878511940047023
2025-10-17,Bitcoin,-0.037805314938030854,-0.02041498608959469
2025-10-20,Bitcoin,-0.013228170677699103,0.04399052756344357
2025-10-21,Bitcoin,-0.027379550585566848,0.02248939662924898
2025-10-22,Bitcoin,-0.05499323131330347,0.008350704115622554
2025-10-23,Bitcoin,-0.047077554799757726,0.052280601986280706
2025-10-24,Bitcoin,-0.043648470002224604,0.058642244291387424
2025-10-27,Bitcoin,-0.011482076402265617,0.10463428760743354
2025-10-28,Bitcoin,-0.033267009576403384,0.06988583282984151
2025-10-29,Bitcoin,-0.05506383867581155,0.03781081567111322
2025-10-30,Bitcoin,-0.0753958265554242,0.00879543591179921
2025-10-31,Bitcoin,-0.053010249609438675,0.024272289290388827
2025-11-03,Bitcoin,-0.05499837199896418,-0.005051024201012666
2025-11-04,Bitcoin,-0.09305917146887233,-0.05175521644170422
2025-11-05,Bitcoin,-0.08326930838928404,-0.01709058360397886
2025-11-06,Bitcoin,-0.07105044027897645,-0.06942934448151361
2025-11-07,Bitcoin,-0.05779107132099559,-0.05723379955783214
2025-11-10,Bitcoin,-0.073459448787629,-0.018861986513980855
2025-11-11,Bitcoin,-0.09695771248506513,-0.048960203878395836
2025-11-12,Bitcoin,-0.1431596747837287,-0.06688451260914252
2025-11-13,Bitcoin,-0.1738775846834647,-0.10445901728157714
2025-11-14,Bitcoin,-0.22793434885722252,-0.18613617261925852
2025-11-17,Bitcoin,-0.26178752385034276,-0.21633566954246974
2025-11-18,Bitcoin,-0.2346824478441959,-0.22445469136409257
2025-11-19,Bitcoin,-0.2585133098277246,-0.223398060957263
2025-11-20,Bitcoin,-0.2881846977673773,-0.2703976154534429
2025-11-21,Bitcoin,-0.24841087210179746,-0.28668958877733464
2025-11-24,Bitcoin,-0.2342349535043008,-0.25196483967963534
2025-11-25,Bitcoin,-0.2278737434810748,-0.25628207227109745
2025-11-26,Bitcoin,-0.18292307361403137,-0.24565144514311843
